id,title,description,type,topic,difficulty,url,gradeId,examIds,imageId
"res-1","Introduction to Algebra","A comprehensive video lesson covering the fundamentals of algebra.","YouTube","Mathematics","Beginner","https://www.youtube.com/",9,"school-final-10","algebra-basics"
"res-2","Calculus for Beginners","Master the basics of calculus with this engaging YouTube series.","YouTube","Mathematics","Intermediate","https://www.youtube.com/",11,"engineering-entrance,school-final-12","calculus-video"
"res-3","Newton's Laws of Motion","Downloadable PDF notes explaining Newton's three laws of motion with examples.","PDF","Physics","Beginner","#",10,"school-final-10,engineering-entrance","physics-notes"
"res-4","Organic Chemistry Past Paper","Practice with a previous year's exam paper on organic chemistry, with solutions.","Past Paper","Chemistry","Advanced","#",12,"school-final-12,engineering-entrance,medical-entrance","chemistry-paper"
"res-5","Cell Biology Fundamentals","An introductory video on the structure and function of cells.","YouTube","Biology","Beginner","https://www.youtube.com/",11,"medical-entrance","biology-basics"
"res-6","Indian Freedom Struggle","Detailed notes on the key events of the Indian independence movement.","PDF","Social Studies","Intermediate","#",10,"school-final-10","history-lesson"
"res-7","2022 Engineering Entrance Paper","Full question paper from the 2022 exam with a complete answer key.","Past Paper","General","Advanced","#",12,"engineering-entrance","reasoning-puzzle"
"res-8","Shakespeare's Macbeth Analysis","An in-depth video analysis of themes and characters in Macbeth.","YouTube","English","Intermediate","https://www.youtube.com/",10,"school-final-10","literature-paper"
"res-9","Grade 10 Science Notes","Complete notes for Grade 10 Science covering Physics, Chemistry, and Biology.","PDF","Science","Intermediate","#",10,"school-final-10","science-notes"
"res-10","Grade 12 Physics Past Paper","A past paper for Grade 12 Physics final exam.","Past Paper","Physics","Advanced","#",12,"school-final-12,engineering-entrance","physics-paper"
"res-11","Human Anatomy 101","A YouTube series covering the basics of human anatomy for medical aspirants.","YouTube","Biology","Intermediate","https://www.youtube.com/",11,"medical-entrance","human-anatomy"
"res-12","Grade 10 Maths Past Paper","A past paper for the Grade 10 final exam in Mathematics.","Past Paper","Mathematics","Intermediate","#",10,"school-final-10","math-paper"
"res-13","Trigonometry Basics","A video explaining the basics of trigonometry.","YouTube","Mathematics","Beginner","https://www.youtube.com",10,"school-final-10","algebra-basics"
"res-14","Periodic Table Explained","In-depth video on the periodic table.","YouTube","Chemistry","Intermediate","https://www.youtube.com",10,"school-final-10,engineering-entrance","chemistry-paper"
"res-15","Genetics and Evolution PDF","Downloadable notes on genetics and evolution.","PDF","Biology","Advanced","#",12,"medical-entrance","biology-basics"
"res-16","World History Past Paper","Past paper on World History for final exams.","Past Paper","Social Studies","Intermediate","#",10,"school-final-10","history-lesson"
"res-17","Thermodynamics Video Lecture","A lecture on the laws of thermodynamics.","YouTube","Physics","Advanced","https://www.youtube.com",12,"engineering-entrance,school-final-12","physics-notes"
"res-18","American Revolution Notes","PDF notes on the American Revolution.","PDF","Social Studies","Intermediate","#",9,"school-final-10","history-lesson"
"res-19","Medical Entrance 2021 Paper","2021 past paper for medical entrance exam.","Past Paper","General","Advanced","#",12,"medical-entrance","reasoning-puzzle"
"res-20","Data Structures in CS","Video series on fundamental data structures.","YouTube","Computer Science","Intermediate","https://www.youtube.com/",12,"school-final-12","geography-notes"
